"age","job","marital","education","default","balance","housing","loan","contact","y","price"
58,"management","married","tertiary","no",2143,"yes","no","unknown","no",58
44,"technician","single","","no",29,"yes","no","unknown","no",81
33,"entrepreneur","married","secondary","no",2,"yes","yes","unknown","no",52
47,"blue-collar","married","unknown","no",1506,"yes","no","unknown","no",66
33,"unknown","single","unknown","no",1,"no","no","unknown","no",122
35,"management","married","tertiary","no",231,"yes","no","unknown","no",40
28,"management","single","tertiary","no",447,"yes","yes","unknown","no",94
42,"entrepreneur","divorced","tertiary","yes",2,"yes","no","unknown","no",64
58,"retired","married","primary","no",121,"yes","no","unknown","no",27
43,"technician","single","secondary","no",593,"yes","no","unknown","no",51
41,"","divorced","secondary","no",270,"yes","no","unknown","no",61
29,"admin.","single","secondary","no",390,"yes","no","unknown","no",68
53,"technician","married","secondary","no",6,"yes","no","unknown","no",35
44,"technician","married","unknown","no",71,"yes","no","unknown","no",48
57,"services","married","secondary","no",162,"yes","no","unknown","no",21
51,"retired","married","","no",229,"yes","no","unknown","no",65
45,"admin.","single","unknown","no",13,"yes","no","unknown","no",72
57,"blue-collar","married","primary","no",52,"yes","no","unknown","no",37
60,"retired","married","primary","",60,"yes","no","unknown","no",24
33,"services","married","secondary","no",0,"yes","no","unknown","no",38
28,"blue-collar","married","secondary","no",723,"yes","yes","unknown","no",27
56,"management","married","tertiary","no",779,"yes","no","unknown","no",51
32,"blue-collar","single","primary","no",23,"yes","yes","unknown","no",76
25,"services","married","secondary","no",50,"yes","no","unknown","no",16
40,"retired","married","primary","no",0,"yes","yes","unknown","no",66
44,"","married","secondary","no",-372,"yes","no","unknown","no",60
39,"management","single","tertiary","no",255,"yes","no","unknown","no",62
52,"entrepreneur","married","secondary","no",113,"yes","yes","unknown","no",35
46,"management","single","secondary","no",-246,"yes","no","unknown","no",42
36,"technician","single","secondary","no",265,"yes","yes","unknown","no",83
57,"technician","married","secondary","no",839,"no","yes","unknown","no",75
49,"management","","tertiary","no",378,"yes","no","unknown","no",49
60,"admin.","married","secondary","no",39,"yes","","unknown","no",42
59,"blue-collar","married","secondary","no",0,"yes","no","unknown","no",22
51,"management","married","tertiary","no",10635,"yes","no","unknown","no",84
